station_id,station_name,latitude,longitude,elevation_m,obs_start,obs_end,n_valid_records,n_missing_records,total_records
0-203-0-10104024001,Hořiněves,50.31285,15.76283,275.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1289,11495,12784
0-203-0-10201001003,Orlické Záhoří,50.280707,16.468455,690.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1357,11154,12511
0-203-0-10201037001,Luisino údolí  Deštné v Orlických horách,50.287003,16.38829,875.0,1956-07-06 06:00:00+00:00,2025-12-29 06:00:00+00:00,1636,15349,16985
0-203-0-10201039001,Zdobnice,50.247678,16.408505,671.0,1964-02-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,2206,20440,22646
0-203-0-10201047001,Slatina nad Zdobnicí,50.13555556,16.38277778,390.0,1953-03-06 06:00:00+00:00,2025-12-22 06:00:00+00:00,1738,13819,15557
0-203-0-10202005001,Králíky,50.08289,16.73475,538.0,1978-01-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,1315,12199,13514
0-203-0-10202014001,Orličky,50.026453,16.667424,570.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1351,10795,12146
0-203-0-10202022001,Dolní Čermná,49.979555,16.566659,394.0,1991-01-07 06:00:00+00:00,2012-12-31 06:00:00+00:00,595,7441,8036
0-203-0-10202024001,Letohrad,50.03782,16.48707,427.0,1991-01-14 06:00:00+00:00,2019-12-30 06:00:00+00:00,1024,9568,10592
0-203-0-10202037001,Mikuleč,49.8033,16.4119,513.0,1991-01-07 06:00:00+00:00,2005-06-27 06:00:00+00:00,408,4887,5295
0-203-0-10202065001,Choceň,50.009544,16.200903,282.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1268,11516,12784
0-203-0-10202083001,Borohrádek,50.105254,16.086691,254.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1254,11530,12784
0-203-0-10203008001,Dobřany,50.322178,16.281744,627.0,1987-11-02 06:00:00+00:00,2025-12-22 06:00:00+00:00,1227,12014,13241
0-203-0-10203017001,Dobruška,50.2867,16.1531,283.0,1991-01-07 06:00:00+00:00,2008-04-28 06:00:00+00:00,504,5979,6483
0-203-0-10203029301,Bílý Újezd  Hroška,50.234904,16.209938,319.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1242,11542,12784
0-203-0-10203034001,České Meziříčí,50.282295,16.041312,255.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1273,11511,12784
0-203-0-10203066201,Běleč nad Orlicí,50.186901,15.94687,247.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1259,11494,12753
0-203-0-10301024001,Holice,50.0717,15.995,248.0,1991-01-07 06:00:00+00:00,1997-01-27 06:00:00+00:00,159,2245,2404
0-203-0-10301028001,Býšť,50.1294,15.9128,244.0,1991-01-07 06:00:00+00:00,1997-01-20 06:00:00+00:00,140,2083,2223
0-203-0-10302007001,Trstěnice,49.807087,16.341265,435.0,1957-02-01 06:00:00+00:00,2024-10-28 06:00:00+00:00,1696,17905,19601
0-203-0-10302022001,Lubná,49.773006,16.190554,560.0,1943-01-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,2201,40897,43098
0-203-0-10302040001,Hrušová,49.916667,16.19522,291.0,2013-11-18 06:00:00+00:00,2025-12-29 06:00:00+00:00,381,4057,4438
0-203-0-10302050001,Vysoké Mýto,49.962009,16.167796,278.0,1900-01-05 06:00:00+00:00,2025-12-29 06:00:00+00:00,4433,30631,35064
0-203-0-10302074001,Dašice,50.035,15.9092,226.0,1991-01-07 06:00:00+00:00,1997-01-20 06:00:00+00:00,157,2066,2223
0-203-0-10303009001,Hamry,49.738323,15.914045,605.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1316,11468,12784
0-203-0-10303020001,Vysočina  Jančouř,49.755424,15.822131,548.0,1983-03-14 06:00:00+00:00,2025-12-29 06:00:00+00:00,1257,11558,12815
0-203-0-10303025001,Seč  přehrada,49.8378,15.6542,495.0,1991-01-07 06:00:00+00:00,2001-12-31 06:00:00+00:00,266,3752,4018
0-203-0-10303027001,Křižanovice,49.865999,15.774205,432.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1272,11512,12784
0-203-0-10303045001,Nové Hrady,49.850201,16.1475,400.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1348,11436,12784
0-203-0-10303061001,Skuteč,49.834881,15.996141,457.0,1979-01-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,1084,18639,19723
0-203-0-10303080002,Chrast,49.9036,15.9386,292.0,1991-01-07 06:00:00+00:00,2005-12-26 06:00:00+00:00,381,5098,5479
0-203-0-10303098001,Hrochův Týnec,49.962057,15.909774,241.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1260,11524,12784
0-203-0-10304023001,Heřmanův Městec,49.946639,15.673986,275.0,1934-01-05 06:00:00+00:00,2025-12-29 06:00:00+00:00,2567,32862,35429
0-203-0-10304070001,Litošice,49.986104,15.512615,270.0,1991-01-07 06:00:00+00:00,2012-12-31 06:00:00+00:00,703,7333,8036
0-203-0-10304076001,Labské Chrčice,50.0478,15.4122,202.0,1991-01-07 06:00:00+00:00,1998-06-29 06:00:00+00:00,175,2563,2738
0-203-0-10305002001,Krucemburk,49.688077,15.844811,559.0,1931-06-26 06:00:00+00:00,2025-12-29 06:00:00+00:00,3416,30079,33495
0-203-0-10305012001,Chotěboř,49.7167,15.6667,519.0,1962-01-05 06:00:00+00:00,1978-12-09 06:00:00+00:00,121,6088,6209
0-203-0-10305021001,Běstvina  Pařížov,49.829595,15.569633,333.0,1991-01-07 06:00:00+00:00,2025-12-22 06:00:00+00:00,1311,11473,12784
0-203-0-10305028001,Míčov- Sušice  Zbyslavec,49.9,15.5844,510.0,1991-01-07 06:00:00+00:00,2006-12-25 06:00:00+00:00,486,5358,5844
0-203-0-10305030001,Licoměřice,49.914705,15.551646,335.0,2007-01-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,813,6127,6940
0-203-0-10305039001,Golčův Jeníkov,49.81896,15.47526,375.0,1991-01-07 06:00:00+00:00,2012-12-31 06:00:00+00:00,579,7457,8036
0-203-0-10401002001,Konárovice,50.03844,15.284988,209.0,2001-01-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,1153,7978,9131
0-203-0-10401004001,Zbýšov  Dobrovítov,49.78686,15.329835,490.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1304,11480,12784
0-203-0-10401028001,Bahno,49.866846,15.234033,420.0,2002-10-07 06:00:00+00:00,2025-09-29 06:00:00+00:00,1067,7336,8403
0-203-0-10401034001,Kutná Hora  Sedlec,49.965934,15.288261,260.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1247,11507,12754
0-203-0-10401054001,Bychory,50.0833,15.25,214.0,1999-12-06 06:00:00+00:00,1999-12-27 06:00:00+00:00,4,911,915
0-203-0-10402021001,Slatiny  Milíčeves,50.379018,15.393348,254.0,1972-02-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,1773,17427,19200
0-203-0-10402058001,Žlunice,50.3022,15.3811,270.0,1897-01-01 06:00:00+00:00,2006-03-27 06:00:00+00:00,4142,35243,39385
0-203-0-10403011001,Nechanice - Lubno,50.242972,15.659823,245.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1238,11486,12724
0-203-0-10403016001,Bříšťany,50.3128,15.6128,265.0,1991-01-07 06:00:00+00:00,1997-03-31 06:00:00+00:00,190,2214,2404
0-203-0-10404004001,Chlumec nad Cidlinou  Lučice,50.1382625,15.4638228,213.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1319,11465,12784
0-203-0-10404014001,Žehuň,50.133757,15.287765,204.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1265,11519,12784
0-203-0-10405023001,Libáň,50.370822,15.214447,240.0,1991-01-07 06:00:00+00:00,2024-12-30 06:00:00+00:00,1273,11146,12419
0-203-0-10405051001,Dymokury,50.248346,15.201165,208.0,1897-01-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,3485,25552,29037
0-203-0-10405053001,Mcely,50.3033,15.0717,233.0,1941-01-03 06:00:00+00:00,2008-04-28 06:00:00+00:00,1233,11764,12997
0-203-0-10406025001,Dolní Chvatliny,49.983593,15.065951,290.0,1975-12-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,2346,15948,18294
0-203-0-10406037001,Mrzky,50.044659,14.80731,260.0,2013-07-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,616,3951,4567
0-203-0-10406039001,Kostelec n. Černými Lesy,50.0044,14.8356,360.0,1990-01-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,1705,12084,13789
0-203-0-10406042001,Oleška  Brník,49.9833,14.9,390.0,1933-01-06 06:00:00+00:00,1987-06-29 06:00:00+00:00,1926,30975,32901
0-203-0-10407027001,Kostomlaty nad Labem,50.181641,14.961299,185.0,1956-02-26 06:00:00+00:00,2025-12-29 06:00:00+00:00,3044,24350,27394
0-203-0-10407058001,Úvaly,50.0772,14.7111,260.0,1961-01-06 06:00:00+00:00,2025-12-29 06:00:00+00:00,2074,21667,23741
0-203-0-10407065001,Káraný,50.175931,14.731428,170.0,1942-02-06 06:00:00+00:00,2008-12-29 06:00:00+00:00,2461,22011,24472
0-203-0-10501011001,Rokytnice nad Jizerou  Vilémov,50.7319,15.4229,525.0,1959-01-04 06:00:00+00:00,2025-12-29 06:00:00+00:00,2947,24447,27394
0-203-0-10501021001,Dvoračky,50.748172,15.514525,1115.0,2020-01-06 06:00:00+00:00,2025-12-29 06:00:00+00:00,138,2125,2263
0-203-0-10501025001,Jilemnice,50.6014,15.5125,462.0,1922-11-25 06:00:00+00:00,2025-12-29 06:00:00+00:00,3925,41366,45291
0-203-0-10501030001,Roprachtice,50.651199,15.414138,550.0,1958-03-09 06:00:00+00:00,2025-12-29 06:00:00+00:00,2906,24366,27272
0-203-0-10501035001,Studenec,50.55272,15.550286,532.0,1961-01-06 06:00:00+00:00,2006-06-26 06:00:00+00:00,2179,14438,16617
0-203-0-10501036001,Nová Paka,50.49,15.5136,450.0,1952-01-13 06:00:00+00:00,2025-12-29 06:00:00+00:00,3116,24278,27394
0-203-0-10501038001,Lomnice nad Popelkou,50.538491,15.379375,485.0,1984-01-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,1666,13675,15341
0-203-0-10501045001,Libštát,50.5667,15.4333,430.0,1961-02-24 06:00:00+00:00,1982-12-06 06:00:00+00:00,895,21751,22646
0-203-0-10501059001,Bedřichov  Nová louka,50.81445,15.158215,780.0,2001-01-22 06:00:00+00:00,2025-12-17 06:00:00+00:00,295,8836,9131
0-203-0-10501060001,Josefův Důl,50.778158,15.22868,623.0,1981-01-05 06:00:00+00:00,2025-12-15 06:00:00+00:00,2161,17563,19724
0-203-0-10501063001,Smržovka,50.7294,15.2511,550.0,1949-05-06 06:00:00+00:00,2025-12-22 06:00:00+00:00,3170,24834,28004
0-203-0-10501078001,Vysoké nad Jizerou,50.682981,15.408523,695.0,1994-01-03 06:00:00+00:00,2021-06-14 06:00:00+00:00,1102,7831,8933
0-203-0-10502005001,Železný Brod,50.6408,15.2517,290.0,1941-12-12 06:00:00+00:00,2025-12-29 06:00:00+00:00,3728,26650,30378
0-203-0-10502036001,Hodkovice nad Mohelkou,50.6667,15.0833,388.0,1963-04-05 06:00:00+00:00,1979-12-24 06:00:00+00:00,793,5326,6119
0-203-0-10502046001,Všelibice  Vrtky,50.6194,14.9511,410.0,1934-07-06 06:00:00+00:00,2015-12-28 06:00:00+00:00,2761,20028,22789
0-203-0-10502047001,Všelibice,50.648954,14.950609,392.0,2016-04-04 06:00:00+00:00,2025-12-29 06:00:00+00:00,486,3076,3562
0-203-0-10502049001,Jivina,50.5539,14.9492,308.0,1980-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,2186,16670,18856
0-203-0-10502050001,Boseň  Mužský,50.5222,15.0404,382.0,1941-09-05 06:00:00+00:00,2025-12-29 06:00:00+00:00,3574,27229,30803
