hydro_year,n_stations,mean_swe_obs_median,mean_swe_mod_median,mean_swe_obs_mean,mean_swe_mod_mean,mean_swe_djfm_obs_median,mean_swe_djfm_mod_median,mean_swe_djfm_obs_mean,mean_swe_djfm_mod_mean,mean_swe_snow_obs_median,mean_swe_snow_mod_median,mean_swe_snow_obs_mean,mean_swe_snow_mod_mean,max_swe_obs_median,max_swe_mod_median,max_swe_obs_mean,max_swe_mod_mean,dohy_max_obs_median,dohy_max_mod_median,dohy_max_obs_mean,dohy_max_mod_mean,dohy_first_snow_obs_median,dohy_first_snow_mod_median,dohy_first_snow_obs_mean,dohy_first_snow_mod_mean,dohy_last_snow_obs_median,dohy_last_snow_mod_median,dohy_last_snow_obs_mean,dohy_last_snow_mod_mean,snow_duration_obs_median,snow_duration_mod_median,snow_duration_obs_mean,snow_duration_mod_mean,n_snow_weeks_obs_median,n_snow_weeks_mod_median,n_snow_weeks_obs_mean,n_snow_weeks_mod_mean,swe_days_obs_median,swe_days_mod_median,swe_days_obs_mean,swe_days_mod_mean
1977,185,2.216326530612245,2.538283761188679,5.994190232237328,6.0111896639571905,7.0625,7.7783098375,13.985626509508863,15.706423714039222,16.1475,16.3097312,23.232595734524836,21.749579235049584,28.4,26.261818,37.24702702702702,36.90558410664865,85.0,85.0,88.90384615384616,87.14450867052022,43.0,43.0,42.64102564102564,38.50867052023121,120.0,120.0,128.7948717948718,121.90173410404624,77.0,77.0,86.15384615384616,83.39306358381504,8.0,9.0,7.297297297297297,8.583783783783783,776.3000000000001,875.8923514599999,1557.2805405405406,1688.8246135583374
1978,185,2.134,2.7468021783999994,8.025356473225072,9.006139412322058,6.83,10.158197010764708,18.188059931368755,22.374556421646492,18.3,12.833949123076925,26.262591292585086,23.12769285118901,28.5,25.494665,42.11351351351351,40.95116716841081,105.0,112.0,99.76100628930817,99.31491712707182,35.0,28.0,40.37106918238994,28.386740331491712,119.0,119.0,125.47169811320755,123.60220994475138,84.0,98.0,85.1006289308176,95.21546961325967,8.0,11.0,7.9135135135135135,10.78918918918919,686.0,929.197668175,2101.2448648648647,2502.592311277936
1979,186,4.461364545818327,5.397995973582857,7.0604891948165385,8.208330664845164,14.117226890756303,18.172682450666667,20.799247762524566,25.49660618430718,22.90909090909091,22.21497197797619,30.02033538821685,28.686379829583363,42.0,39.797912,51.08817204301075,51.648270231387094,104.0,111.0,102.02453987730061,108.18478260869566,34.0,34.0,38.809815950920246,38.29891304347826,125.0,132.0,130.88343558282207,175.33152173913044,91.0,105.0,92.07361963190183,137.0326086956522,10.0,11.0,9.274193548387096,10.93010752688172,1495.9,1848.4466816759998,2322.0467741935486,2675.516985501102
1980,182,1.9782156862745097,1.7685584119566666,5.500597854240462,5.0795590950530105,5.217410714285714,4.542798234,13.6019176904669,13.308869028724835,16.15,11.806754100000001,24.090784422813414,18.61620479483291,27.4,21.160491,40.8510989010989,32.569123764038466,89.0,89.0,98.36,90.74033149171271,61.0,19.0,52.0,34.469613259668506,131.0,131.0,135.16,132.31491712707182,84.0,77.0,83.16,97.84530386740332,6.0,7.0,7.285714285714286,8.67032967032967,681.45,606.722027842,1797.45,1664.9963661599204
1981,186,3.1050612244897957,3.21590766557598,6.845989448314621,6.847398340568952,9.520000000000001,9.93940733076923,20.69551104883458,20.401132103690085,18.69333333333333,16.14112102,28.974600504860657,25.88861645328484,36.2,31.433583,54.80161290322581,48.02303631946236,87.0,87.0,86.69565217391305,87.75675675675676,31.0,10.0,29.25,16.43243243243243,115.0,122.0,117.96739130434783,127.03243243243243,84.0,105.0,88.71739130434783,110.6,9.0,10.0,8.844086021505376,10.440860215053764,1061.5500000000002,1128.4042336,2312.3747311827956,2342.2915294206937
1982,186,3.711007130124777,5.617342683791667,10.043835784118288,14.363578018945685,11.364166666666666,17.32253823214286,28.372217936150573,41.81672271740847,20.19375,21.57935048333334,34.34104655943488,40.934482820346325,42.0,46.240302,62.50430107526881,68.5427029616129,58.0,58.0,62.01123595505618,67.27027027027027,9.0,9.0,20.286516853932586,18.951351351351352,93.0,121.0,114.2752808988764,122.77837837837838,77.0,112.0,93.98876404494382,103.82702702702703,9.0,13.0,9.946236559139784,12.96236559139785,1278.9,1939.3702902,3461.2064516129035,4930.070000194492
1983,187,2.212244897959184,2.1156532433962263,4.48016589740837,4.495391582345774,7.785714285714286,7.738941866666667,14.40095554134796,14.917603521464727,20.28,15.485370422727273,26.19273558410275,21.975850913749728,35.2,29.319246,47.64866310160427,38.973635202139036,106.0,113.0,109.1923076923077,110.1774193548387,57.0,50.0,66.6923076923077,55.645161290322584,120.0,127.0,123.6923076923077,126.6236559139785,70.0,77.0,57.0,70.97849462365592,5.0,7.0,6.433155080213904,7.909090909090909,747.6,765.54822477,1586.3572192513368,1589.9981013288395
1984,187,1.504,1.1912950091666668,5.662996640783416,5.323948901060191,5.1866666666666665,3.827333212,16.62134882876901,15.357422066641588,10.144166666666667,6.480895975,21.730033285504387,17.927927230619034,19.2,13.589024,41.29893048128342,32.34887713930482,105.0,108.5,94.73333333333333,97.20108695652173,35.0,35.0,40.833333333333336,35.76086956521739,119.0,126.0,122.61666666666666,127.02717391304348,84.0,91.0,81.78333333333333,91.2663043478261,9.0,10.0,8.598930481283423,9.909090909090908,486.5,419.193380802,1954.1042780748662,1847.621591580362
1985,187,3.0960784313725487,2.8818912149423075,5.760127089774964,5.523843503132623,10.676666666666666,9.639410404220515,18.049040438267195,17.59746333250915,16.162337662337663,12.952078293571429,23.014478235045562,20.30413063794317,28.4,22.610868,42.97700534759358,35.58017763224599,89.0,89.0,95.6989247311828,95.88709677419355,47.0,47.0,46.05913978494624,44.17741935483871,138.0,138.0,139.69354838709677,148.8763440860215,91.0,91.0,93.63440860215054,104.6989247311828,10.0,11.0,10.363636363636363,11.411764705882353,1042.2999999999997,990.3976313000001,1985.2973262032085,1901.719248974873
1986,187,3.1625,3.7056396354166665,7.206908483164203,8.04060819421897,7.753846153846154,8.3687521,18.882461637965335,21.269292640056673,16.0,15.973914950000003,25.906866155125996,26.036565366602044,34.2,35.2751,51.46577540106952,48.95020021390374,32.0,32.0,61.6096256684492,62.4331550802139,18.0,18.0,19.459893048128343,18.449197860962567,123.0,130.0,128.80213903743316,135.9144385026738,105.0,112.0,109.34224598930481,117.46524064171123,10.0,12.0,10.732620320855615,12.363636363636363,1089.8999999999999,1275.4485499,2480.0288770053476,2776.899588477559
