station_id,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0-203-0-20101147002,20.0,14.0,20.0,18.0,18.0,20.0,25.0,24.0,26.0,23.0,23.0,26.0,25.0,25.0,22.0,26.0,25.0,26.0,22.0,23.0,24.0,24.0,25.0,24.0,25.0,22.0,24.0,22.0,25.0,24.0,26.0,23.0,23.0,25.0,23.0,19.0,22.0,13.0,12.0,24.0,16.0,13.0,12.0,21.0,24.0,23.0,18.0,25.0,24.0,21.0,25.0,19.0,25.0,23.0,24.0,21.0,21.0,25.0,22.0,25.0,21.0,22.0,23.0,21.0,20.0,19.0,20.0,26.0,23.0
0-203-0-20101153101,21.0,16.0,17.0,22.0,25.0,23.0,22.0,24.0,23.0,25.0,25.0,21.0,21.0,23.0,22.0,21.0,24.0,24.0,23.0,23.0,21.0,20.0,22.0,21.0,22.0,22.0,24.0,18.0,23.0,23.0,25.0,21.0,23.0,24.0,23.0,20.0,25.0,17.0,5.0,19.0,14.0,12.0,16.0,24.0,23.0,24.0,20.0,23.0,24.0,20.0,26.0,21.0,22.0,22.0,25.0,22.0,20.0,24.0,22.0,23.0,19.0,20.0,23.0,23.0,22.0,21.0,24.0,25.0,23.0
0-203-0-20201071001,,,12.0,22.0,21.0,19.0,17.0,19.0,19.0,16.0,14.0,20.0,16.0,14.0,16.0,19.0,20.0,24.0,19.0,16.0,18.0,21.0,18.0,18.0,22.0,20.0,25.0,25.0,23.0,21.0,24.0,25.0,24.0,25.0,21.0,22.0,22.0,12.0,12.0,24.0,15.0,15.0,7.0,11.0,23.0,23.0,17.0,20.0,23.0,21.0,9.0,6.0,16.0,16.0,23.0,25.0,22.0,23.0,21.0,25.0,22.0,21.0,21.0,22.0,24.0,21.0,22.0,26.0,23.0
0-203-0-20202070001,16.0,10.0,17.0,17.0,7.0,,7.0,20.0,12.0,15.0,18.0,26.0,22.0,25.0,21.0,25.0,21.0,20.0,17.0,21.0,17.0,20.0,22.0,18.0,20.0,21.0,25.0,16.0,23.0,22.0,23.0,19.0,18.0,23.0,22.0,18.0,18.0,14.0,16.0,16.0,9.0,15.0,15.0,21.0,23.0,23.0,14.0,24.0,23.0,24.0,5.0,11.0,23.0,16.0,21.0,23.0,23.0,22.0,25.0,23.0,22.0,23.0,22.0,24.0,25.0,22.0,25.0,22.0,24.0
0-203-0-20203023001,24.0,22.0,21.0,25.0,25.0,23.0,26.0,23.0,25.0,25.0,22.0,25.0,25.0,24.0,21.0,26.0,26.0,24.0,26.0,25.0,24.0,22.0,24.0,25.0,25.0,22.0,25.0,25.0,26.0,24.0,26.0,25.0,22.0,25.0,23.0,20.0,22.0,7.0,12.0,15.0,11.0,8.0,7.0,15.0,23.0,22.0,15.0,22.0,25.0,21.0,,10.0,21.0,20.0,23.0,22.0,20.0,24.0,22.0,25.0,21.0,21.0,21.0,23.0,23.0,20.0,20.0,24.0,21.0
0-203-0-20301001001,24.0,16.0,16.0,17.0,19.0,16.0,20.0,7.0,24.0,23.0,23.0,23.0,21.0,16.0,,1.0,17.0,19.0,18.0,20.0,19.0,24.0,23.0,24.0,24.0,25.0,24.0,25.0,23.0,24.0,25.0,24.0,24.0,25.0,23.0,25.0,26.0,18.0,16.0,23.0,17.0,23.0,21.0,24.0,21.0,24.0,21.0,25.0,25.0,25.0,24.0,21.0,22.0,23.0,24.0,23.0,23.0,23.0,25.0,25.0,24.0,,,21.0,24.0,23.0,21.0,25.0,22.0
0-203-0-20301008002,23.0,23.0,20.0,18.0,22.0,15.0,12.0,24.0,26.0,20.0,24.0,22.0,22.0,3.0,4.0,15.0,24.0,13.0,22.0,21.0,21.0,17.0,21.0,25.0,22.0,22.0,22.0,24.0,22.0,23.0,25.0,20.0,24.0,24.0,24.0,21.0,22.0,18.0,20.0,22.0,22.0,18.0,18.0,23.0,23.0,23.0,19.0,22.0,23.0,24.0,23.0,23.0,24.0,25.0,23.0,23.0,25.0,23.0,22.0,24.0,20.0,24.0,23.0,22.0,24.0,19.0,21.0,23.0,18.0
0-203-0-20301050204,,,14.0,24.0,21.0,16.0,26.0,22.0,22.0,23.0,23.0,24.0,22.0,22.0,23.0,25.0,22.0,25.0,23.0,22.0,22.0,19.0,23.0,21.0,22.0,20.0,23.0,23.0,23.0,23.0,23.0,24.0,20.0,22.0,22.0,21.0,23.0,16.0,17.0,17.0,14.0,12.0,5.0,17.0,22.0,21.0,14.0,23.0,21.0,24.0,26.0,22.0,23.0,24.0,25.0,24.0,26.0,23.0,23.0,26.0,23.0,25.0,25.0,21.0,21.0,24.0,25.0,26.0,24.0
0-203-0-20408003001,21.0,23.0,21.0,22.0,23.0,19.0,24.0,23.0,25.0,25.0,23.0,23.0,22.0,22.0,22.0,25.0,21.0,23.0,23.0,22.0,25.0,23.0,25.0,21.0,22.0,22.0,23.0,21.0,21.0,21.0,25.0,25.0,22.0,24.0,21.0,18.0,18.0,11.0,11.0,17.0,10.0,12.0,17.0,19.0,13.0,14.0,21.0,20.0,25.0,24.0,21.0,22.0,25.0,23.0,24.0,25.0,20.0,23.0,23.0,24.0,22.0,21.0,19.0,15.0,24.0,20.0,22.0,23.0,25.0
0-203-0-41001078001,17.0,12.0,17.0,14.0,17.0,13.0,13.0,24.0,15.0,15.0,14.0,20.0,23.0,23.0,21.0,23.0,25.0,23.0,22.0,25.0,22.0,23.0,26.0,24.0,23.0,23.0,23.0,25.0,26.0,24.0,25.0,24.0,22.0,24.0,24.0,21.0,23.0,13.0,12.0,22.0,16.0,14.0,19.0,20.0,24.0,26.0,24.0,25.0,25.0,25.0,26.0,22.0,26.0,26.0,24.0,23.0,22.0,25.0,25.0,26.0,22.0,22.0,24.0,23.0,25.0,24.0,20.0,23.0,24.0
0-203-0-41002099001,26.0,21.0,25.0,18.0,24.0,17.0,13.0,14.0,20.0,19.0,15.0,21.0,20.0,7.0,21.0,19.0,18.0,21.0,23.0,22.0,19.0,16.0,11.0,17.0,23.0,20.0,24.0,23.0,21.0,25.0,25.0,25.0,24.0,21.0,21.0,21.0,19.0,11.0,6.0,12.0,3.0,,3.0,18.0,23.0,23.0,17.0,21.0,20.0,23.0,24.0,22.0,16.0,16.0,17.0,23.0,19.0,26.0,23.0,25.0,21.0,23.0,25.0,24.0,21.0,23.0,24.0,24.0,23.0
0-203-0-41003075001,18.0,16.0,23.0,22.0,24.0,12.0,25.0,21.0,24.0,15.0,23.0,24.0,18.0,25.0,22.0,21.0,18.0,20.0,23.0,16.0,15.0,20.0,21.0,22.0,25.0,22.0,22.0,24.0,24.0,23.0,23.0,24.0,24.0,24.0,23.0,25.0,24.0,11.0,9.0,13.0,4.0,,,20.0,25.0,25.0,20.0,17.0,25.0,21.0,23.0,24.0,25.0,23.0,22.0,23.0,22.0,26.0,26.0,24.0,23.0,24.0,25.0,26.0,22.0,23.0,23.0,24.0,24.0
0-203-0-41101014001,18.0,16.0,24.0,24.0,26.0,23.0,22.0,23.0,21.0,15.0,21.0,24.0,20.0,20.0,22.0,23.0,24.0,23.0,21.0,25.0,25.0,21.0,23.0,22.0,26.0,21.0,25.0,24.0,22.0,26.0,7.0,25.0,22.0,23.0,23.0,24.0,24.0,16.0,15.0,21.0,19.0,7.0,16.0,24.0,19.0,21.0,19.0,24.0,22.0,24.0,20.0,22.0,23.0,25.0,25.0,25.0,22.0,25.0,26.0,24.0,22.0,19.0,22.0,22.0,22.0,17.0,20.0,21.0,20.0
0-203-0-41101034002,22.0,26.0,21.0,25.0,24.0,25.0,23.0,16.0,25.0,24.0,21.0,19.0,24.0,23.0,25.0,21.0,17.0,25.0,22.0,24.0,25.0,23.0,25.0,21.0,25.0,22.0,24.0,26.0,22.0,23.0,26.0,23.0,21.0,24.0,21.0,23.0,22.0,13.0,8.0,16.0,9.0,,21.0,24.0,24.0,24.0,20.0,24.0,26.0,24.0,26.0,20.0,25.0,25.0,25.0,24.0,24.0,23.0,24.0,22.0,23.0,19.0,24.0,23.0,24.0,22.0,22.0,26.0,22.0
0-203-0-41101084001,17.0,12.0,16.0,21.0,23.0,16.0,14.0,16.0,14.0,17.0,13.0,14.0,15.0,11.0,21.0,17.0,20.0,22.0,16.0,13.0,14.0,16.0,17.0,17.0,21.0,22.0,24.0,23.0,21.0,23.0,26.0,22.0,21.0,22.0,23.0,23.0,23.0,11.0,8.0,19.0,10.0,,8.0,17.0,21.0,22.0,23.0,23.0,23.0,25.0,24.0,21.0,24.0,23.0,25.0,24.0,22.0,24.0,24.0,24.0,22.0,23.0,24.0,22.0,25.0,21.0,22.0,23.0,18.0
