station_id,n_obs,bias_mm,rmse_mm,correlation,mean_observed_mm,mean_modelled_mm,station_name,latitude,longitude,elevation_m
0-203-0-10304023001,1759,-0.11479022383132394,2.2128334931957423,0.9206196999888211,1.2584422967595208,1.1436520729281978,Heřmanův Městec,49.946639,15.673986,275
0-203-0-10304070001,703,0.22765442180483664,2.3148589998780884,0.9186759940987287,1.6281650071123743,1.8558194289172103,Litošice,49.986104,15.512615,270
0-203-0-10304076001,175,0.05322418365142855,1.106033609442184,0.9220289924162212,0.7062857142857154,0.7595098979371449,Labské Chrčice,50.0478,15.4122,202
0-203-0-10305002001,2660,-0.8606215310120018,12.415590338181874,0.8686168254917244,8.242556390977464,7.381934859965476,Krucemburk,49.688077,15.844811,559
0-203-0-10305012001,121,12.846044825123967,27.298507641880345,0.41320318661047084,13.287603305785124,26.13364813090909,Chotěboř,49.7167,15.6667,519
0-203-0-10305021001,1311,-0.6945847520697981,4.405805626966277,0.9055000607841112,2.0942028985507135,1.3996181464809274,Běstvina  Pařížov,49.829595,15.569633,333
0-203-0-10305028001,486,-2.6614941350357983,7.20787709539037,0.8051745836590616,4.3917695473251,1.7302754122892996,Míčov- Sušice  Zbyslavec,49.9,15.5844,510
0-203-0-10305030001,813,-0.17920186524501797,2.321039510138319,0.9276031966062315,1.0589175891758842,0.8797157239308743,Licoměřice,49.914705,15.551646,335
0-203-0-10305039001,579,-0.7004584984801352,5.54939254711922,0.9095290678054545,1.522279792746106,0.8218212942659726,Golčův Jeníkov,49.81896,15.47526,375
0-203-0-10401002001,1153,-0.04788249061682615,1.9634108658171596,0.8621398798868231,0.48508239375542156,0.4371999031385926,Konárovice,50.03844,15.284988,209
0-203-0-10401004001,1304,-3.1205379612872295,11.425767076414871,0.8554305376316006,4.578220858895676,1.457682897608454,Zbýšov  Dobrovítov,49.78686,15.329835,490
0-203-0-10401028001,1067,0.7330483774082517,4.475590861911365,0.8792377098340975,1.5986879100281088,2.331736287436375,Bahno,49.866846,15.234033,420
0-203-0-10401034001,1247,-0.185275482640739,2.701978550662569,0.8962095334133822,0.7485164394546875,0.563240956813951,Kutná Hora  Sedlec,49.965934,15.288261,260
0-203-0-10401054001,4,0.284603665,0.48531360810722474,NA,0,0.284603665,Bychory,50.0833,15.25,214
0-203-0-10402021001,1773,1.6607036492928813,6.711191736959208,0.8113485488727343,1.3632825719120163,3.0239862212048956,Slatiny  Milíčeves,50.379018,15.393348,254
0-203-0-10402058001,1717,0.5813134595218926,3.9750580594590494,0.4831383066046885,0.2510192195690231,0.8323326790909155,Žlunice,50.3022,15.3811,270
0-203-0-10403011001,1238,-0.3825221018606627,3.421558640826949,0.8465125367512223,1.0788368336025893,0.6963147317419196,Nechanice - Lubno,50.242972,15.659823,245
