station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-203-0-11794,49,1.0,1976.0,2024.0,0,23.0,14.0,26.0,0.11884171583905069,49,True,True,True,True,True,True,True,,1976-2025,49,Horní Bečva,49.4311,18.2983,565.0
0-203-0-11798,49,1.0,1976.0,2024.0,0,21.0,11.0,26.0,0.1723191154544974,49,True,True,True,True,True,True,True,,1976-2025,49,Mořkov,49.5414,18.057778,345.0
0-203-0-20101147002,49,1.0,1976.0,2024.0,0,23.0,12.0,26.0,0.16142600046050287,49,True,True,True,True,True,True,True,,1976-2025,49,Hukvaldy  Rychaltice,49.6428,18.2208,292.0
0-203-0-20202005001,49,1.0,1976.0,2024.0,0,20.0,10.0,26.0,0.17148301798231078,49,True,True,True,True,True,True,True,,1976-2025,49,Malá Morávka  Karlov,50.025278,17.259444,775.0
0-203-0-20301008002,49,1.0,1976.0,2024.0,0,23.0,17.0,25.0,0.09287928872930432,49,True,True,True,True,True,True,True,,1976-2025,49,Staré Hamry  Samčanka,49.468936,18.43389,527.0
0-203-0-20408003001,49,1.0,1976.0,2024.0,0,22.0,10.0,25.0,0.1967520091154639,49,True,True,True,True,True,True,True,,1976-2025,49,Rumburk,50.95156,14.57086,390.0
0-203-0-40202009001,49,1.0,1976.0,2024.0,0,23.0,11.0,26.0,0.14044168141158106,49,True,True,True,True,True,True,True,,1976-2025,49,Všeruby,49.343587,12.983841,445.0
0-203-0-41001078001,49,1.0,1976.0,2024.0,0,24.0,12.0,26.0,0.13997616602902532,49,True,True,True,True,True,True,True,,1976-2025,49,Velké Losiny,50.038056,17.051365,411.0
0-203-0-41501010001,49,1.0,1976.0,2024.0,0,22.0,11.0,26.0,0.16561736717249348,49,True,True,True,True,True,True,True,,1976-2025,49,Polička,49.716111,16.269167,552.0
0-203-0-41501048001,49,1.0,1976.0,2024.0,0,21.0,11.0,26.0,0.1923450744189812,49,True,True,True,True,True,True,True,,1976-2025,49,Olešnice,49.5586,16.4166,543.0
0-20000-0-11464,48,0.9795918367346939,1976.0,2024.0,1,20.0,11.0,26.0,0.17394789647186315,49,True,True,True,True,True,True,True,,1976-2025,49,Milešovka,50.555,13.93083,830.5
0-20000-0-11603,48,0.9795918367346939,1977.0,2024.0,1,22.0,12.0,26.0,0.16163316530805935,49,True,True,True,True,True,True,True,,1976-2025,49,Liberec,50.76972,15.02389,397.72
0-20000-0-11710,48,0.9795918367346939,1976.0,2024.0,1,22.0,10.0,26.0,0.18244633640811142,49,True,True,True,True,True,True,True,,1976-2025,49,Luká,49.652222,16.953333,510.0
0-203-0-10407027001,48,0.9795918367346939,1976.0,2024.0,1,23.0,11.0,26.0,0.1368571289729076,48,True,True,True,True,True,True,True,,1976-2025,49,Kostomlaty nad Labem,50.181641,14.961299,185.0
