station_id,hydro_year,n_obs,mean_swe_obs,mean_swe_djfm_obs,max_swe_obs,n_snow_weeks_obs,swe_days_obs,mean_swe_snow_obs,dohy_max_obs,dohy_first_snow_obs,dohy_last_snow_obs,snow_duration_obs,mean_swe_mod,mean_swe_djfm_mod,max_swe_mod,n_snow_weeks_mod,swe_days_mod,mean_swe_snow_mod,dohy_max_mod,dohy_first_snow_mod,dohy_last_snow_mod,snow_duration_mod,station_name,latitude,longitude,elevation_m
0-20000-0-11406,2017,50,2.67,8.34375,30.0,6,934.5,22.2,77.0,70.0,105.0,35.0,2.02441223608,6.27206273525,18.496265,7,708.544282628,14.110008828571427,98.0,70.0,112.0,42.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2018,50,0.8420000000000001,2.1666666666666665,14.5,5,294.7,8.42,83.0,13.0,83.0,70.0,1.0086688122200003,2.8393286986666664,14.8911495,9,353.03408427700003,5.345441622222221,83.0,13.0,125.0,112.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2019,48,0.6229166666666667,2.1357142857142857,21.5,3,209.29999999999998,9.966666666666667,96.0,82.0,96.0,14.0,0.4227629752708333,1.4494730580714286,15.211961,2,142.04835969099997,9.8355237,96.0,89.0,96.0,7.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2020,51,0.0,0.0,0.0,0,0.0,,,,,,0.0007565552549019608,0.0,0.038584318,0,0.270090226,,,,,,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2021,50,0.868,2.7125000000000004,14.5,6,303.8,7.233333333333334,107.0,65.0,107.0,42.0,1.1960885308,3.7191228675000003,15.010227,7,418.63098578,8.460365814285714,107.0,58.0,107.0,49.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2022,48,0.14166666666666666,0.5230769230769231,3.5,2,47.6,3.4,57.0,57.0,71.0,14.0,0.34694058208333334,1.2796234730769231,6.254664,3,116.57203558,5.144049666666667,71.0,57.0,85.0,28.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2023,50,0.14400000000000002,0.48000000000000004,4.5,2,50.4,3.25,49.0,49.0,84.0,35.0,0.19592993614,0.5608799804666665,4.0033684,4,68.575477649,2.30864605,49.0,21.0,119.0,98.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2024,51,0.503921568627451,1.1875,13.0,4,179.9,6.425,34.0,27.0,174.0,147.0,0.6469107966666666,1.7228967312499999,14.649901,4,230.94715441,8.192765174999998,34.0,27.0,83.0,56.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2025,48,0.22916666666666666,0.7857142857142857,11.0,1,77.0,11.0,67.0,67.0,67.0,0.0,0.466693071875,1.6000905321428571,14.593072,4,156.80887214999998,5.412557075,67.0,32.0,116.0,84.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11414,1979,40,9.195,30.650000000000002,67.0,10,2574.6,36.7,97.0,62.0,125.0,63.0,13.929292893249999,46.39204887500001,74.47409,12,3900.2020101099997,46.39204887500001,118.0,62.0,146.0,84.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1980,41,5.804878048780488,17.923076923076923,70.0,9,1666.0,26.444444444444443,89.0,19.0,131.0,112.0,5.432222418536585,16.444768396923077,48.921528,10,1559.04783412,22.2703365,89.0,19.0,131.0,112.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
0-20000-0-11414,1981,45,7.297777777777777,21.626666666666665,64.2,12,2298.7999999999997,27.358333333333334,94.0,10.0,122.0,112.0,8.575653870888889,24.787104699999997,52.86429,13,2701.33096933,29.612274499999998,122.0,10.0,122.0,112.0,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603.0
